doc	file	year	venue	session_type	rel_path	window_chars
doc_day-0-event_2017_01	igf-2017-day-0-salle-15-the-12th-annual-symposium-of-the-global-internet-governance-0.html	2017		day-0-event	day-0-event/2017/igf-2017-day-0-salle-15-the-12th-annual-symposium-of-the-global-internet-governance-0.html	4000
doc_day-0-event_2019_02	igf-2019-%E2%80%93-day-0-%E2%80%93-raum-ii-%E2%80%93-high-level-internet-governance-exchange-panels-on-data-0.html	2019		day-0-event	day-0-event/2019/igf-2019-%E2%80%93-day-0-%E2%80%93-raum-ii-%E2%80%93-high-level-internet-governance-exchange-panels-on-data-0.html	4000
doc_day-0-event_2021_03	igf-2021-%E2%80%93-day-0-%E2%80%93-event-11-internet-society%E2%80%99s-collaborative-leadership-exchange.html	2021		day-0-event	day-0-event/2021/igf-2021-%E2%80%93-day-0-%E2%80%93-event-11-internet-society%E2%80%99s-collaborative-leadership-exchange.html	4000
doc_day-0-event_2022_04	igf-2022-day-0-event-10-cyber-hygiene-best-practices-from-the-insafe-network-0.html	2022		day-0-event	day-0-event/2022/igf-2022-day-0-event-10-cyber-hygiene-best-practices-from-the-insafe-network-0.html	4000
doc_day-0-event_2023_05	igf-2023-%E2%80%93-day-0-%E2%80%93-event-207-pursuing-a-metaverse-based-on-democratic-values.html	2023		day-0-event	day-0-event/2023/igf-2023-%E2%80%93-day-0-%E2%80%93-event-207-pursuing-a-metaverse-based-on-democratic-values.html	4000
doc_day-0-event_2024_06	igf-2024-day-3-plenary-main-session-3-internet-governance-and-elections-maximising-0.html	2024		day-0-event	day-0-event/2024/igf-2024-day-3-plenary-main-session-3-internet-governance-and-elections-maximising-0.html	4000
doc_day-0-event_2025_07	igf-2025-day-0-conference-hall-event-249-sustainable-digital-growth-net-negative-net-zero.html	2025		day-0-event	day-0-event/2025/igf-2025-day-0-conference-hall-event-249-sustainable-digital-growth-net-negative-net-zero.html	4000
doc_dc-bpf-nri_2016_08	page_ccb056e6.html	2016		dc-bpf-nri	dc-bpf-nri/2016/page_ccb056e6.html	4000
doc_dc-bpf-nri_2017_09	igf-2017-day-2-room-xi-nris-collaborative-session-digital-currency-and-blockchain-technology.html	2017		dc-bpf-nri	dc-bpf-nri/2017/igf-2017-day-2-room-xi-nris-collaborative-session-digital-currency-and-blockchain-technology.html	4000
doc_dc-bpf-nri_2018_10	igf-2018-day-2-salle-i-evolution-of-internet-governance-0.html	2018		dc-bpf-nri	dc-bpf-nri/2018/igf-2018-day-2-salle-i-evolution-of-internet-governance-0.html	4000
doc_dc-bpf-nri_2019_11	igf-2019-%E2%80%93-day-1-%E2%80%93-estrel-saal-b-%E2%80%93-dc-how-to-balance-childrens-right-to-play-and-to-be.html	2019		dc-bpf-nri	dc-bpf-nri/2019/igf-2019-%E2%80%93-day-1-%E2%80%93-estrel-saal-b-%E2%80%93-dc-how-to-balance-childrens-right-to-play-and-to-be.html	4000
doc_dc-bpf-nri_2020_12	igf-2020-%E2%80%93-day-10-%E2%80%93-high-level-leaders-track-security.html	2020		dc-bpf-nri	dc-bpf-nri/2020/igf-2020-%E2%80%93-day-10-%E2%80%93-high-level-leaders-track-security.html	4000
doc_dc-bpf-nri_2022_13	igf-2022-day-2-dc-ddht-community-connection-to-ehealth-telemedicine-miot-%E2%80%93-raw.html	2022		dc-bpf-nri	dc-bpf-nri/2022/igf-2022-day-2-dc-ddht-community-connection-to-ehealth-telemedicine-miot-%E2%80%93-raw.html	4000
doc_dc-bpf-nri_2023_14	igf-2023-%E2%80%93-day-1-%E2%80%93-dc-dnsi-closing-the-governance-gaps-new-paradigms-for-a-safer-dns.html	2023		dc-bpf-nri	dc-bpf-nri/2023/igf-2023-%E2%80%93-day-1-%E2%80%93-dc-dnsi-closing-the-governance-gaps-new-paradigms-for-a-safer-dns.html	4000
doc_launch-award_2016_15	page_a5ad1072.html	2016		launch-award	launch-award/2016/page_a5ad1072.html	4000
doc_launch-award_2017_16	igf-2017-day-3-room-ix-ws250-the-dark-side-of-the-internet-policy-how-flawed-policy-can-lead.html	2017		launch-award	launch-award/2017/igf-2017-day-3-room-ix-ws250-the-dark-side-of-the-internet-policy-how-flawed-policy-can-lead.html	4000
doc_launch-award_2021_17	igf-2021-%E2%80%93-day-3-%E2%80%93-irpc-the-charter-at-10-achievements-challenges-and-what%E2%80%99s-next.html	2021		launch-award	launch-award/2021/igf-2021-%E2%80%93-day-3-%E2%80%93-irpc-the-charter-at-10-achievements-challenges-and-what%E2%80%99s-next.html	4000
doc_launch-award_2022_18	igf-2022-day-2-high-level-leaders-session-iii-%E2%80%93-raw.html	2022		launch-award	launch-award/2022/igf-2022-day-2-high-level-leaders-session-iii-%E2%80%93-raw.html	4000
doc_launch-award_2023_19	igf-2023-%E2%80%93-day-3-%E2%80%93-dcpr-a-new-generation-of-platform-regulations-%E2%80%93-raw.html	2023		launch-award	launch-award/2023/igf-2023-%E2%80%93-day-3-%E2%80%93-dcpr-a-new-generation-of-platform-regulations-%E2%80%93-raw.html	4000
doc_launch-award_2024_20	igf-2024-day-3-village-stage-award-event-168-parliamentary-approaches-to-ict-and-un-sc-0.html	2024		launch-award	launch-award/2024/igf-2024-day-3-village-stage-award-event-168-parliamentary-approaches-to-ict-and-un-sc-0.html	4000
doc_launch-award_2025_21	igf-2025-day-3-studio-n-wef-business-engagement-session-safety-in-innovation-building.html	2025		launch-award	launch-award/2025/igf-2025-day-3-studio-n-wef-business-engagement-session-safety-in-innovation-building.html	4000
doc_lightning-talk_2016_22	page_5097869c.html	2016		lightning-talk	lightning-talk/2016/page_5097869c.html	4000
doc_lightning-talk_2021_23	igf-2021-%E2%80%93-day-2-%E2%80%93-lightning-talk-81-encryption-and-human-rights-towards-a-total-0.html	2021		lightning-talk	lightning-talk/2021/igf-2021-%E2%80%93-day-2-%E2%80%93-lightning-talk-81-encryption-and-human-rights-towards-a-total-0.html	4000
doc_lightning-talk_2022_24	igf-2022-day-3-lightning-talk-89-renewing-the-wsis-mandate-the-internet-and-its-governance.html	2022		lightning-talk	lightning-talk/2022/igf-2022-day-3-lightning-talk-89-renewing-the-wsis-mandate-the-internet-and-its-governance.html	4000
doc_lightning-talk_2023_25	igf-2023-%E2%80%93-day-4-%E2%80%93-lightning-talk-122-ai-in-the-courts-an-opportunity-for-economic.html	2023		lightning-talk	lightning-talk/2023/igf-2023-%E2%80%93-day-4-%E2%80%93-lightning-talk-122-ai-in-the-courts-an-opportunity-for-economic.html	4000
doc_lightning-talk_2024_26	igf-2024-lightning-talk-22-effective-e-waste-solutions-for-a-sustainable-digital-future.html	2024		lightning-talk	lightning-talk/2024/igf-2024-lightning-talk-22-effective-e-waste-solutions-for-a-sustainable-digital-future.html	4000
doc_lightning-talk_2025_27	igf-2025-lightning-talk-155-ethical-access-to-ai-therapists-addressing-risks-and-safegu.html	2025		lightning-talk	lightning-talk/2025/igf-2025-lightning-talk-155-ethical-access-to-ai-therapists-addressing-risks-and-safegu.html	4000
doc_main-session_2018_28	igf-2018-day-1-salle-i-emerging-technologies.html	2018		main-session	main-session/2018/igf-2018-day-1-salle-i-emerging-technologies.html	4000
doc_main-session_2019_29	igf-2019-%E2%80%93-day-1-%E2%80%93-convention-hall-ii-%E2%80%93-digital-cooperation-and-internet-governance.html	2019		main-session	main-session/2019/igf-2019-%E2%80%93-day-1-%E2%80%93-convention-hall-ii-%E2%80%93-digital-cooperation-and-internet-governance.html	4000
doc_main-session_2020_30	igf-2020-%E2%80%93-day-10-%E2%80%93-nri-main-session-role-of-the-internet-in-emergency-situations.html	2020		main-session	main-session/2020/igf-2020-%E2%80%93-day-10-%E2%80%93-nri-main-session-role-of-the-internet-in-emergency-situations.html	4000
doc_main-session_2021_31	igf-2021-%E2%80%93-day-2-%E2%80%93-main-session-digital-cooperation-in-practice-igf-dynamic-coalitions.html	2021		main-session	main-session/2021/igf-2021-%E2%80%93-day-2-%E2%80%93-main-session-digital-cooperation-in-practice-igf-dynamic-coalitions.html	4000
doc_main-session_2022_32	igf-2022-day-1-opening-ceremony-%E2%80%93-raw.html	2022		main-session	main-session/2022/igf-2022-day-1-opening-ceremony-%E2%80%93-raw.html	4000
doc_main-session_2023_33	igf-2023-%E2%80%93-day-1-%E2%80%93-high-level-panel-v-artificial-intelligence-%E2%80%93-raw.html	2023		main-session	main-session/2023/igf-2023-%E2%80%93-day-1-%E2%80%93-high-level-panel-v-artificial-intelligence-%E2%80%93-raw.html	4000
doc_main-session_2024_34	igf-2024-day-1-plenary-main-session-1-global-access-global-progress-managing-the-0.html	2024		main-session	main-session/2024/igf-2024-day-1-plenary-main-session-1-global-access-global-progress-managing-the-0.html	4000
doc_main-session_2025_35	igf-2025-day-0-plenary-hall-parliamentary-track-safeguarding-democracy-in-the-digital-age.html	2025		main-session	main-session/2025/igf-2025-day-0-plenary-hall-parliamentary-track-safeguarding-democracy-in-the-digital-age.html	4000
doc_networking_2016_36	page_a76cfa06.html	2016		networking	networking/2016/page_a76cfa06.html	4000
doc_networking_2017_37	igf-2017-day-2-room-xi-ws6-ig-grassroots-initiatives-youth-leaders-on-the-table.html	2017		networking	networking/2017/igf-2017-day-2-room-xi-ws6-ig-grassroots-initiatives-youth-leaders-on-the-table.html	4000
doc_networking_2021_38	igf-2021-%E2%80%93-day-3-%E2%80%93-ycig-youth-in-the-decision-making-process-hear-us.html	2021		networking	networking/2021/igf-2021-%E2%80%93-day-3-%E2%80%93-ycig-youth-in-the-decision-making-process-hear-us.html	4000
doc_networking_2022_39	igf-2022-day-4-dc-iui-strengthening-digital-ecosystems-through-shared-principles-%E2%80%93-raw.html	2022		networking	networking/2022/igf-2022-day-4-dc-iui-strengthening-digital-ecosystems-through-shared-principles-%E2%80%93-raw.html	4000
doc_networking_2023_40	igf-2023-day-2-town-hall-21-towards-ethical-principles-for-responsible-technology.html	2023		networking	networking/2023/igf-2023-day-2-town-hall-21-towards-ethical-principles-for-responsible-technology.html	4000
doc_networking_2024_41	igf-2024-day-2-village-stage-ns-21-european-stakeholder-networking-session.html	2024		networking	networking/2024/igf-2024-day-2-village-stage-ns-21-european-stakeholder-networking-session.html	4000
doc_networking_2025_42	igf-2025-day-3-studio-n-networking-session-37-mapping-the-dpi-stakeholders.html	2025		networking	networking/2025/igf-2025-day-3-studio-n-networking-session-37-mapping-the-dpi-stakeholders.html	4000
doc_open-forum_2017_43	igf-2017-day-3-room-ix-of70-cybersecurity-20-leveraging-the-multistakeholder-model-to.html	2017		open-forum	open-forum/2017/igf-2017-day-3-room-ix-of70-cybersecurity-20-leveraging-the-multistakeholder-model-to.html	4000
doc_open-forum_2019_44	igf-2019-%E2%80%93-day-1-%E2%80%93-convention-hall-i-c-%E2%80%93-of-44-disinformation-online-reducing-harm.html	2019		open-forum	open-forum/2019/igf-2019-%E2%80%93-day-1-%E2%80%93-convention-hall-i-c-%E2%80%93-of-44-disinformation-online-reducing-harm.html	4000
doc_open-forum_2020_45	igf-2020-day-5-of50-global-partnership-to-end-violence-against-children.html	2020		open-forum	open-forum/2020/igf-2020-day-5-of50-global-partnership-to-end-violence-against-children.html	4000
